node0,node1,12
node0,node2,18.46
node0,node3,11.83
node0,node7,17.67
node0,node10,14.42
node0,node13,8.14
node0,node14,64.36
node0,node15,42
node0,node17,44.32
node0,node18,45
node0,node19,49.64
node0,node20,51.16
node0,node23,10.23
node0,node24,8.42
node0,node28,69.36
node0,node29,46
node0,node31,52.32
node0,node33,46.64
node0,node36,17
node0,node37,12.46
node0,node39,17
node0,node46,24
node0,node48,22.58
node0,node49,47.02
node0,node50,31
node0,node58,41.61
node0,node59,44.91
node0,node62,41.02
node0,node63,24.34
node0,node65,20.46
node1,node0,14.77
node1,node2,12
node1,node3,12.27
node1,node4,11.11
node1,node7,9.38
node1,node9,11
node1,node11,15.05
node1,node18,41.44
node1,node22,6.11
node1,node24,14.63
node1,node28,47.08
node1,node32,46.44
node1,node34,51.36
node1,node37,14
node1,node38,15.27
node1,node41,11.34
node1,node43,30.46
node1,node45,29.54
node1,node49,39.31
node1,node52,36.81
node1,node53,34.33
node1,node56,45.7
node1,node58,39
node1,node60,37.38
node1,node62,41.19
node1,node65,20
node1,node66,15.27
node1,node67,18.11
node1,node69,13.34
node2,node0,11.79
node2,node3,17
node2,node5,15.41
node2,node6,12.37
node2,node9,9.21
node2,node10,12
node2,node11,9.19
node2,node13,11.18
node2,node14,53.16
node2,node15,43.2
node2,node16,45.64
node2,node19,43.64
node2,node23,14.21
node2,node24,13
node2,node26,9.21
node2,node28,48.16
node2,node30,43.64
node2,node33,47.64
node2,node35,15.79
node2,node36,20.3
node2,node37,13.41
node2,node38,17
node2,node43,23.6
node2,node52,31
node2,node55,37.11
node2,node57,44.05
node2,node58,46.44
node2,node59,45
node2,node60,44.36
node2,node61,44.44
node2,node62,46.29
node2,node63,13.79
node2,node66,13
node2,node67,17.39
node3,node2,20.19
node3,node5,16.73
node3,node6,21.77
node3,node8,14.24
node3,node11,13
node3,node14,53
node3,node20,57.08
node3,node21,8.5
node3,node23,9.09
node3,node26,6.37
node3,node27,16.88
node3,node28,50
node3,node29,46.96
node3,node33,49.92
node3,node34,57.08
node3,node37,20.19
node3,node40,19.73
node3,node41,22.77
node3,node46,28
node3,node49,40
node3,node51,33.57
node3,node53,31
node3,node55,47.31
node3,node56,39.5
node3,node59,46.2
node3,node60,42
node3,node62,52.2
node3,node64,12.49
node3,node65,18.19
node3,node67,20
node3,node68,17.73
node4,node0,18.43
node4,node1,14.34
node4,node2,15.4
node4,node7,9.21
node4,node9,15.2
node4,node11,11.1
node4,node13,14.25
node4,node18,42.8
node4,node20,43
node4,node21,7.21
node4,node23,9.2
node4,node24,14.79
node4,node26,12
node4,node28,49.72
node4,node29,48.36
node4,node33,47
node4,node34,51
node4,node35,14.43
node4,node36,18.34
node4,node37,15.4
node4,node39,11.2
node4,node44,24.8
node4,node45,30.14
node4,node47,21
node4,node48,31
node4,node50,33.02
node4,node54,34
node4,node56,40.5
node4,node57,38.19
node4,node61,36
node4,node62,45.75
node4,node63,18.43
node4,node64,17.34
node4,node65,18.4
node4,node66,20.57
node4,node67,13.2
node4,node68,16
node5,node1,16.11
node5,node8,9.55
node5,node11,9.22
node5,node12,9.58
node5,node13,15
node5,node14,52
node5,node15,48.44
node5,node18,44.76
node5,node19,52.6
node5,node21,10.75
node5,node24,6.64
node5,node25,6.22
node5,node29,47.44
node5,node30,50.24
node5,node31,51.12
node5,node34,50
node5,node36,14.11
node5,node37,21.31
node5,node38,15.28
node5,node39,11.44
node5,node40,13.15
node5,node41,14
node5,node43,29.22
node5,node44,28.62
node5,node45,24.56
node5,node48,22
node5,node50,38.33
node5,node53,38.32
node5,node55,33
node5,node57,41.88
node5,node58,45.59
node5,node62,39
node5,node63,19.5
node5,node65,20.31
node5,node66,12.28
node6,node0,17.94
node6,node2,20.36
node6,node3,13.72
node6,node4,18.53
node6,node8,11.35
node6,node9,14.68
node6,node11,6.26
node6,node12,9.83
node6,node13,13.54
node6,node15,46.84
node6,node16,47.44
node6,node17,51.88
node6,node18,48.12
node6,node19,55.6
node6,node22,11.35
node6,node23,10.68
node6,node24,9.86
node6,node25,8.26
node6,node26,12.83
node6,node29,49.84
node6,node30,47.44
node6,node31,53.88
node6,node34,46.36
node6,node35,11.94
node6,node38,17.72
node6,node41,21.09
node6,node42,28.88
node6,node43,25.42
node6,node48,24.18
node6,node50,42.13
node6,node51,36.08
node6,node52,41.16
node6,node54,41.95
node6,node56,48.29
node6,node58,40.76
node6,node59,47.02
node6,node60,39.85
node6,node61,42.77
node6,node62,41.81
node6,node63,13.94
node6,node65,12.36
node6,node66,20.72
node6,node67,14.53
node7,node0,9.29
node7,node1,5
node7,node3,6.25
node7,node8,9
node7,node11,9
node7,node13,2.03
node7,node14,14.17
node7,node15,17
node7,node16,17.49
node7,node17,12.98
node7,node18,14
node7,node21,8.65
node7,node22,9
node7,node25,4
node7,node26,10.05
node7,node29,18
node7,node31,17.98
node7,node32,11
node7,node35,13.29
node7,node37,3.12
node7,node38,3.25
node7,node39,10
node7,node42,8.58
node7,node44,13.24
node7,node47,12.2
node7,node48,6.12
node7,node49,12.88
node7,node50,7
node7,node54,11.3
node7,node57,12
node7,node61,10.35
node7,node63,12.29
node7,node64,4
node7,node67,5
node8,node1,6.04
node8,node4,3.03
node8,node6,3.09
node8,node10,4.16
node8,node11,3.01
node8,node12,11.04
node8,node14,18.69
node8,node15,14.17
node8,node17,15.31
node8,node18,9.11
node8,node19,10.34
node8,node21,9.09
node8,node22,7.02
node8,node23,3
node8,node25,11.01
node8,node28,13.69
node8,node31,11.31
node8,node32,15.11
node8,node35,8.17
node8,node36,3.04
node8,node39,9.03
node8,node40,8.09
node8,node44,11
node8,node45,8.66
node8,node48,6.17
node8,node49,10.52
node8,node52,16.98
node8,node55,14.26
node8,node59,12.15
node8,node61,8.3
node8,node62,17.3
node8,node63,5.17
node9,node1,10.07
node9,node3,7
node9,node6,11.09
node9,node10,11
node9,node15,11.3
node9,node17,10
node9,node19,18.42
node9,node20,10.34
node9,node22,9.04
node9,node25,8.06
node9,node26,4.05
node9,node27,5.04
node9,node29,18.3
node9,node31,10
node9,node32,18.46
node9,node34,9.34
node9,node38,8
node9,node40,4.11
node9,node42,6.68
node9,node44,10.19
node9,node45,11
node9,node46,10.23
node9,node47,9.21
node9,node48,14.17
node9,node52,9
node9,node54,8.32
node9,node55,11.26
node9,node56,15.18
node9,node57,9.26
node9,node60,17.4
node9,node63,10.34
